Sector,Symbol,Period_High,High_Date,Period_Low,Low_Date
Communication Services,EA,146.95,08/06/2020,86.94,03/20/2020
Communication Services,TTWO,177.52,08/04/2020,100.15,03/20/2020
Communication Services,VIAC,41.16,01/07/2020,11.19,03/23/2020
Communication Services,DIS,148.2,01/02/2020,85.76,03/23/2020
Communication Services,T,37.03,01/22/2020,25.39,03/23/2020
Communication Services,VZ,61.1,11/10/2020,48.35,03/25/2020
Communication Services,DISCK,30.6,01/16/2020,16.46,03/23/2020
Communication Services,GOOG,1763.37,11/05/2020,1056.62,03/23/2020
Communication Services,DISH,41.29,02/18/2020,18.15,03/23/2020
Communication Services,FB,303.91,08/26/2020,146.01,03/16/2020
Communication Services,NFLX,556.55,09/01/2020,298.84,03/16/2020
Communication Services,OMC,77.85,01/17/2020,45.8,10/29/2020
Communication Services,FOXA,38.74,01/17/2020,20.03,03/23/2020
Communication Services,LYV,76.08,02/19/2020,29.5,03/18/2020
Communication Services,ATVI,86.84,08/06/2020,51.71,03/20/2020
Communication Services,FOX,37.98,01/17/2020,19.65,03/23/2020
Communication Services,TMUS,125.15,11/11/2020,74.32,03/18/2020
Communication Services,GOOGL,1762.5,11/05/2020,1054.13,03/23/2020
Communication Services,DISCA,32.77,01/16/2020,18.36,04/03/2020
Communication Services,TWTR,52.43,10/29/2020,22.0,03/18/2020
Communication Services,CTL,14.17,02/12/2020,8.29,03/23/2020
Communication Services,IPG,24.07,02/13/2020,12.17,03/20/2020
Communication Services,NWS,17.24,11/11/2020,8.09,03/23/2020
Communication Services,CMCSA,47.77,11/10/2020,32.07,04/01/2020
Communication Services,NWSA,17.2,11/11/2020,8.13,04/03/2020
Communication Services,CHTR,651.72,10/12/2020,371.7,03/20/2020
