Sector,Symbol,Period_High,High_Date,Period_Low,Low_Date
Consumer Discretionary,LEN,84.68,10/15/2020,29.12,03/23/2020
Consumer Discretionary,LEN,84.68,10/16/2020,29.12,03/23/2020
Consumer Discretionary,UA,19.27,01/03/2020,6.89,04/02/2020
Consumer Discretionary,ULTA,301.34,02/20/2020,128.52,03/18/2020
Consumer Discretionary,HAS,102.31,01/22/2020,43.55,03/16/2020
Consumer Discretionary,CMG,1379.03,09/02/2020,465.21,03/18/2020
Consumer Discretionary,F,9.26,01/02/2020,4.01,03/23/2020
Consumer Discretionary,PHM,49.48,10/12/2020,17.63,03/23/2020
Consumer Discretionary,NCLH,59.65,01/17/2020,7.77,03/18/2020
Consumer Discretionary,CCL,51.3,01/17/2020,7.97,04/02/2020
Consumer Discretionary,PVH,106.11,01/08/2020,29.05,03/23/2020
Consumer Discretionary,EXPE,128.64,11/09/2020,45.65,03/18/2020
Consumer Discretionary,LEG,49.91,01/16/2020,22.0,03/23/2020
Consumer Discretionary,ROST,123.43,02/20/2020,59.97,03/18/2020
Consumer Discretionary,MCD,229.64,10/15/2020,135.4,03/23/2020
Consumer Discretionary,DHI,78.82,10/15/2020,28.6,03/18/2020
Consumer Discretionary,AAP,162.59,08/18/2020,74.65,03/20/2020
Consumer Discretionary,KMX,108.8,08/24/2020,44.27,03/20/2020
Consumer Discretionary,LB,34.76,10/23/2020,9.17,03/23/2020
Consumer Discretionary,BWA,43.3,01/02/2020,19.54,03/18/2020
Consumer Discretionary,LKQ,37.01,11/10/2020,13.9,03/23/2020
Consumer Discretionary,TSCO,154.63,08/26/2020,66.97,03/16/2020
Consumer Discretionary,APTV,111.03,11/11/2020,33.55,03/18/2020
Consumer Discretionary,TGT,165.64,10/13/2020,90.11,03/25/2020
Consumer Discretionary,TJX,63.99,02/26/2020,36.76,03/23/2020
Consumer Discretionary,GM,41.08,11/10/2020,16.8,03/18/2020
Consumer Discretionary,DPZ,433.78,10/02/2020,269.03,02/03/2020
Consumer Discretionary,TPR,29.06,02/12/2020,10.58,03/23/2020
Consumer Discretionary,BBY,123.06,11/05/2020,50.09,03/23/2020
Consumer Discretionary,BBY,123.06,11/06/2020,50.09,03/23/2020
Consumer Discretionary,MAR,150.88,01/02/2020,59.08,04/03/2020
Consumer Discretionary,LOW,177.09,10/16/2020,64.18,03/18/2020
Consumer Discretionary,LOW,177.09,10/20/2020,64.18,03/18/2020
Consumer Discretionary,RCL,133.72,01/17/2020,22.33,03/18/2020
Consumer Discretionary,DG,223.0,10/13/2020,135.31,03/16/2020
Consumer Discretionary,HD,290.4,08/26/2020,150.45,03/20/2020
Consumer Discretionary,HRB,23.76,01/16/2020,11.53,04/03/2020
Consumer Discretionary,UAA,21.85,01/03/2020,7.71,05/14/2020
Consumer Discretionary,UAA,21.85,01/03/2020,7.71,05/15/2020
Consumer Discretionary,EBAY,59.1,07/10/2020,26.17,03/23/2020
Consumer Discretionary,RL,122.48,02/12/2020,61.0,04/03/2020
Consumer Discretionary,TIF,132.35,02/13/2020,109.55,03/18/2020
Consumer Discretionary,SBUX,95.43,11/09/2020,55.45,03/18/2020
Consumer Discretionary,DLTR,104.24,08/26/2020,65.57,03/18/2020
Consumer Discretionary,KSS,48.38,01/07/2020,11.51,04/03/2020
Consumer Discretionary,ORLY,482.62,09/02/2020,260.92,03/23/2020
Consumer Discretionary,HBI,17.41,10/22/2020,6.89,04/03/2020
Consumer Discretionary,HLT,113.75,01/17/2020,55.94,04/03/2020
Consumer Discretionary,MHK,143.81,01/23/2020,58.66,03/20/2020
Consumer Discretionary,NKE,130.98,10/09/2020,62.51,03/23/2020
Consumer Discretionary,VFC,98.15,01/02/2020,45.35,03/23/2020
Consumer Discretionary,LVS,72.61,01/17/2020,37.68,03/18/2020
Consumer Discretionary,NWL,19.67,11/11/2020,10.23,03/23/2020
Consumer Discretionary,AZO,1250.35,09/02/2020,723.22,03/23/2020
Consumer Discretionary,GPS,23.34,11/10/2020,5.3,04/02/2020
Consumer Discretionary,DRI,122.09,02/12/2020,34.06,03/18/2020
Consumer Discretionary,AMZN,3531.45,09/02/2020,1676.61,03/12/2020
Consumer Discretionary,MGM,34.28,01/17/2020,7.14,03/18/2020
Consumer Discretionary,NVR,4446.88,10/13/2020,2175.0,03/23/2020
Consumer Discretionary,YUM,105.24,02/05/2020,55.95,03/23/2020
Consumer Discretionary,BKNG,2118.24,11/09/2020,1152.24,03/23/2020
Consumer Discretionary,WYNN,150.94,01/16/2020,43.02,03/18/2020
Consumer Discretionary,GRMN,115.27,11/09/2020,62.82,03/23/2020
Consumer Discretionary,GPC,103.12,01/02/2020,49.45,03/23/2020
Consumer Discretionary,WHR,203.43,10/14/2020,63.05,03/23/2020
