Sector,Symbol,Period_High,High_Date,Period_Low,Low_Date
Consumer Staples,GIS,65.2,08/04/2020,46.12,03/23/2020
Consumer Staples,K,70.91,08/31/2020,52.66,03/23/2020
Consumer Staples,PM,85.33,02/21/2020,58.12,03/23/2020
Consumer Staples,CLX,236.52,08/04/2020,148.2,01/07/2020
Consumer Staples,TSN,91.68,01/13/2020,43.6,03/18/2020
Consumer Staples,SYY,82.71,01/10/2020,30.43,03/18/2020
Consumer Staples,MNST,86.53,09/02/2020,50.97,03/23/2020
Consumer Staples,HSY,159.13,03/04/2020,110.17,03/23/2020
Consumer Staples,PG,143.69,10/12/2020,95.91,03/23/2020
Consumer Staples,KMB,157.75,08/12/2020,110.73,03/23/2020
Consumer Staples,CL,84.93,11/11/2020,58.85,03/25/2020
Consumer Staples,ADM,51.87,10/23/2020,28.78,03/23/2020
Consumer Staples,HRL,52.47,08/18/2020,39.5,03/12/2020
Consumer Staples,LW,94.82,02/18/2020,44.52,03/18/2020
Consumer Staples,MKC,209.11,09/02/2020,112.6,03/23/2020
Consumer Staples,TAP,57.39,02/11/2020,32.65,09/25/2020
Consumer Staples,COST,385.66,11/06/2020,278.08,03/12/2020
Consumer Staples,MO,47.85,01/15/2020,29.3,03/23/2020
Consumer Staples,CAG,38.47,08/27/2020,23.67,03/12/2020
Consumer Staples,CHD,98.16,09/02/2020,59.95,03/25/2020
Consumer Staples,WMT,147.98,11/11/2020,102.72,03/12/2020
Consumer Staples,KHC,35.52,08/17/2020,19.58,03/12/2020
Consumer Staples,STZ,205.61,02/20/2020,104.26,03/23/2020
Consumer Staples,CPB,53.09,08/26/2020,40.52,03/25/2020
Consumer Staples,WBA,57.75,01/06/2020,33.52,10/29/2020
Consumer Staples,EL,248.23,11/11/2020,144.06,03/23/2020
Consumer Staples,MDLZ,58.9,10/13/2020,41.21,03/23/2020
Consumer Staples,KO,58.6,02/21/2020,36.92,03/23/2020
Consumer Staples,PEP,143.9,11/11/2020,102.39,03/20/2020
Consumer Staples,COTY,12.0481,02/05/2020,2.65,09/29/2020
