Sector,Symbol,Period_High,High_Date,Period_Low,Low_Date
Energy,OXY,45.8,01/15/2020,8.88,10/28/2020
Energy,XOM,65.66,01/02/2020,29.54,03/23/2020
Energy,OKE,70.39,02/20/2020,13.96,03/18/2020
Energy,NOV,25.36,01/06/2020,8.01,10/28/2020
Energy,EOG,86.63,01/07/2020,28.97,03/18/2020
Energy,FTI,21.28,01/06/2020,4.91,03/18/2020
Energy,HAL,24.96,01/06/2020,4.58,03/18/2020
Energy,MPC,59.37,01/02/2020,16.1,03/23/2020
Energy,COP,63.91,01/06/2020,21.95,03/18/2020
Energy,COP,63.91,01/07/2020,21.95,03/18/2020
Energy,DVN,25.12,01/07/2020,5.18,03/18/2020
Energy,HES,69.63,01/07/2020,28.59,03/23/2020
Energy,WMB,22.54,01/16/2020,8.89,03/18/2020
Energy,COG,22.12,06/08/2020,13.29,02/27/2020
Energy,FANG,93.07,01/07/2020,15.11,03/18/2020
Energy,CVX,116.61,01/02/2020,52.68,03/23/2020
Energy,CXO,91.75,01/07/2020,35.58,03/18/2020
Energy,KMI,20.99,02/20/2020,9.42,03/18/2020
Energy,APA,33.09,01/14/2020,3.99,04/01/2020
Energy,HFC,49.7,01/02/2020,17.23,10/28/2020
Energy,PXD,154.96,01/06/2020,55.64,03/18/2020
Energy,BKR,24.58,01/03/2020,9.02,03/23/2020
Energy,NBL,23.89,01/02/2020,3.01,03/18/2020
Energy,SLB,39.69,01/06/2020,11.89,03/18/2020
Energy,PSX,108.14,01/02/2020,40.97,03/23/2020
Energy,VLO,92.64,01/10/2020,31.56,03/23/2020
Energy,MRO,13.8944,01/06/2020,3.12,04/01/2020
