Sector,Symbol,Period_High,High_Date,Period_Low,Low_Date
Financials,SPGI,378.41,09/02/2020,191.28,03/23/2020
Financials,RF,16.48,01/02/2020,7.17,03/18/2020
Financials,AXP,134.99,02/19/2020,67.99,03/23/2020
Financials,PFG,54.92,01/17/2020,23.53,03/23/2020
Financials,BLK,670.62,11/11/2020,323.31,03/23/2020
Financials,TROW,148.1,10/23/2020,84.17,03/23/2020
Financials,RE,285.64,02/13/2020,159.37,05/14/2020
Financials,PRU,92.62,01/17/2020,37.84,03/23/2020
Financials,ALL,123.54,02/14/2020,72.4,03/23/2020
Financials,GL,110.3,02/20/2020,57.7,03/23/2020
Financials,MKTX,580.57,11/05/2020,280.36,03/23/2020
Financials,PNC,154.39,01/09/2020,78.0,03/23/2020
Financials,JPM,136.15,01/02/2020,76.75,03/23/2020
Financials,NTRS,106.52,01/17/2020,61.19,03/16/2020
Financials,CINF,112.35,02/14/2020,47.7,05/13/2020
Financials,WFC,51.67,01/02/2020,21.04,10/29/2020
Financials,AIG,52.66,02/11/2020,18.38,03/18/2020
Financials,AFL,52.31,01/17/2020,24.88,03/18/2020
Financials,L,55.54,02/10/2020,28.69,05/13/2020
Financials,TRV,138.44,01/22/2020,80.54,03/18/2020
Financials,AIZ,140.28,02/14/2020,79.5,03/18/2020
Financials,PGR,101.38,10/12/2020,66.31,03/23/2020
Financials,COF,105.35,01/22/2020,41.87,04/03/2020
Financials,ETFC,55.09,09/02/2020,27.11,03/23/2020
Financials,IVZ,17.77,02/11/2020,6.54,05/15/2020
Financials,IVZ,17.77,02/12/2020,6.54,05/15/2020
Financials,C,78.73,01/14/2020,34.24,03/23/2020
Financials,MMC,118.43,09/02/2020,75.67,03/23/2020
Financials,RJF,99.62,02/19/2020,54.21,03/23/2020
Financials,RJF,99.62,02/20/2020,54.21,03/23/2020
Financials,MS,56.34,11/11/2020,27.18,03/23/2020
Financials,UNM,28.66,02/05/2020,9.85,03/23/2020
Financials,BK,49.84,01/09/2020,26.79,03/23/2020
Financials,DFS,83.67,01/23/2020,24.75,03/20/2020
Financials,AON,235.73,02/19/2020,144.44,03/23/2020
Financials,NDAQ,136.76,09/02/2020,72.29,03/23/2020
Financials,BAC,34.93,01/02/2020,17.83,03/23/2020
Financials,ICE,106.2,09/01/2020,66.44,03/23/2020
Financials,MTB,168.23,02/05/2020,86.31,03/23/2020
Financials,AMP,183.17,11/10/2020,81.14,03/23/2020
Financials,FITB,29.71,01/02/2020,11.18,03/18/2020
Financials,HBAN,14.29,01/02/2020,6.63,04/03/2020
Financials,KEY,19.43,01/02/2020,7.92,03/18/2020
Financials,LNC,58.39,02/13/2020,16.28,03/20/2020
Financials,PBCT,15.81,01/02/2020,9.08,04/03/2020
Financials,AJG,114.17,11/11/2020,67.64,03/23/2020
Financials,CB,162.03,02/05/2020,93.02,03/23/2020
Financials,GS,245.18,01/16/2020,133.32,03/23/2020
Financials,FRC,137.24,11/09/2020,75.2,03/23/2020
Financials,ZION,50.53,01/02/2020,23.37,03/23/2020
Financials,HIG,59.86,01/17/2020,25.83,03/18/2020
Financials,MET,50.49,02/12/2020,22.64,03/23/2020
Financials,CMA,68.01,01/02/2020,25.14,04/16/2020
Financials,SYF,35.13,01/22/2020,12.43,03/23/2020
Financials,USB,57.15,01/02/2020,27.93,03/23/2020
Financials,SIVB,336.55,11/10/2020,130.98,03/16/2020
Financials,WLTW,217.68,02/05/2020,145.96,03/23/2020
Financials,CFG,38.59,01/17/2020,14.61,03/18/2020
Financials,MCO,304.49,09/02/2020,164.41,03/23/2020
Financials,CBOE,126.52,02/06/2020,75.24,03/18/2020
Financials,CME,220.63,03/04/2020,138.21,03/23/2020
Financials,WRB,79.02,02/19/2020,43.19,03/23/2020
Financials,BEN,25.23,02/05/2020,14.67,03/23/2020
Financials,STT,80.69,01/09/2020,42.05,03/23/2020
