Sector,Symbol,Period_High,High_Date,Period_Low,Low_Date
Health Care,ALXN,127.62,11/11/2020,75.56,03/16/2020
Health Care,ABMD,317.0,08/05/2020,130.51,03/20/2020
Health Care,PKI,141.3,11/06/2020,66.57,03/16/2020
Health Care,CI,222.51,02/12/2020,130.06,03/23/2020
Health Care,STE,191.82,10/12/2020,107.23,03/23/2020
Health Care,MTD,1181.11,11/06/2020,589.41,03/23/2020
Health Care,DGX,129.37,08/03/2020,72.08,04/03/2020
Health Care,BMY,65.87,01/21/2020,45.33,03/23/2020
Health Care,BMY,65.87,01/22/2020,45.33,03/23/2020
Health Care,ZBH,159.39,02/14/2020,80.12,03/18/2020
Health Care,GILD,82.4,04/30/2020,58.15,10/30/2020
Health Care,HOLX,76.67,11/05/2020,29.38,03/23/2020
Health Care,AMGN,259.21,07/20/2020,179.81,03/12/2020
Health Care,ANTM,328.56,11/10/2020,173.51,03/23/2020
Health Care,SYK,234.35,11/09/2020,125.28,03/23/2020
Health Care,PRGO,60.07,02/25/2020,40.32,03/12/2020
Health Care,DHR,245.46,11/06/2020,120.99,03/23/2020
Health Care,BSX,45.71,01/09/2020,25.83,03/23/2020
Health Care,UHS,147.55,01/23/2020,67.69,03/18/2020
Health Care,MRK,89.91,01/02/2020,65.4,03/23/2020
Health Care,BDX,283.16,02/05/2020,199.25,03/23/2020
Health Care,ABBV,99.48,07/17/2020,61.94,03/23/2020
Health Care,IQV,173.66,11/09/2020,84.0,03/23/2020
Health Care,ALGN,491.91,11/05/2020,137.72,03/23/2020
Health Care,CERN,79.58,02/11/2020,54.26,03/23/2020
Health Care,VRTX,303.1,07/20/2020,199.77,03/16/2020
Health Care,DXCM,451.79,08/05/2020,191.16,03/18/2020
Health Care,HUM,452.01,11/04/2020,213.29,03/23/2020
Health Care,PFE,39.2,11/09/2020,27.65,03/23/2020
Health Care,RMD,220.2,11/09/2020,113.63,03/20/2020
Health Care,DVA,107.17,11/10/2020,64.99,03/20/2020
Health Care,UNH,354.56,11/04/2020,193.23,03/23/2020
Health Care,JNJ,153.83,09/02/2020,109.65,03/23/2020
Health Care,ISRG,773.45,11/09/2020,367.75,03/23/2020
Health Care,LH,214.42,11/05/2020,104.32,03/23/2020
Health Care,A,112.54,11/06/2020,62.96,03/23/2020
Health Care,BIO,643.45,11/06/2020,320.01,03/12/2020
Health Care,WST,301.49,10/12/2020,128.69,03/23/2020
Health Care,HSIC,73.71,02/19/2020,43.18,03/23/2020
Health Care,INCY,109.69,07/20/2020,63.18,03/23/2020
Health Care,CAH,58.65,02/20/2020,39.8,03/23/2020
Health Care,XRAY,60.28,01/22/2020,31.66,03/23/2020
Health Care,EW,87.44,09/02/2020,52.41,03/23/2020
Health Care,IDXX,478.1,11/06/2020,182.94,03/23/2020
Health Care,CNC,72.85,04/16/2020,45.55,03/23/2020
Health Care,BAX,93.62,04/20/2020,71.17,03/16/2020
Health Care,ABT,114.42,11/06/2020,62.11,03/23/2020
Health Care,ZTS,174.35,11/04/2020,92.27,03/23/2020
Health Care,REGN,658.21,07/20/2020,336.18,01/30/2020
Health Care,LLY,NaN,11/12/2020,117.31,03/23/2020
Health Care,WAT,244.09,01/22/2020,162.36,03/23/2020
Health Care,ABC,110.08,11/10/2020,73.26,03/23/2020
Health Care,MCK,183.44,11/10/2020,115.13,03/23/2020
Health Care,BIIB,355.63,11/04/2020,236.26,11/09/2020
Health Care,TFX,NaN,11/12/2020,224.67,03/23/2020
Health Care,VAR,174.66,09/02/2020,89.81,03/23/2020
Health Care,COO,360.63,10/12/2020,243.41,03/23/2020
Health Care,MDT,119.08,02/06/2020,71.59,03/23/2020
Health Care,MYL,22.85,02/05/2020,13.26,03/12/2020
Health Care,MYL,22.85,02/06/2020,13.26,03/12/2020
Health Care,ILMN,400.74,08/05/2020,209.2,03/18/2020
Health Care,HCA,152.11,11/10/2020,68.09,03/18/2020
Health Care,CVS,73.71,01/16/2020,51.03,03/16/2020
Health Care,TMO,527.66,11/06/2020,255.0,03/23/2020
