Sector,Symbol,Period_High,High_Date,Period_Low,Low_Date
Industrials,MMM,176.37,01/14/2020,115.66,03/23/2020
Industrials,INFO,91.48,11/11/2020,45.09,03/23/2020
Industrials,SNA,172.67,11/10/2020,94.07,04/03/2020
Industrials,FTV,70.33,11/09/2020,35.08,03/23/2020
Industrials,ROP,452.59,08/13/2020,253.22,03/23/2020
Industrials,CHRW,106.16,10/07/2020,59.44,03/12/2020
Industrials,NLSN,22.0,02/20/2020,11.76,04/01/2020
Industrials,IEX,195.96,11/10/2020,112.96,03/18/2020
Industrials,AOS,56.9,10/09/2020,34.23,03/20/2020
Industrials,TDY,394.06,02/19/2020,201.18,03/18/2020
Industrials,KSU,193.36,09/02/2020,100.06,03/23/2020
Industrials,CTAS,363.46,11/09/2020,155.43,03/23/2020
Industrials,AME,116.76,11/11/2020,57.99,03/23/2020
Industrials,ROL,63.08,11/05/2020,31.36,03/23/2020
Industrials,CSX,91.4,11/10/2020,47.33,03/23/2020
Industrials,TDG,657.93,01/23/2020,245.79,03/18/2020
Industrials,LHX,226.96,02/12/2020,148.88,03/23/2020
Industrials,PNR,54.15,11/06/2020,22.53,03/23/2020
Industrials,TXT,50.84,02/05/2020,21.64,03/23/2020
Industrials,UNP,209.85,10/16/2020,112.84,03/23/2020
Industrials,FLS,49.55,01/02/2020,18.81,03/23/2020
Industrials,CARR,38.95,11/06/2020,11.47,03/23/2020
Industrials,PCAR,92.31,10/23/2020,49.33,03/23/2020
Industrials,DE,253.97,11/10/2020,109.58,03/23/2020
Industrials,IR,42.78,11/09/2020,18.89,03/18/2020
Industrials,XYL,95.11,11/10/2020,56.07,03/23/2020
Industrials,HWM,34.07,02/19/2020,10.59,04/21/2020
Industrials,RHI,64.03,11/10/2020,33.72,03/23/2020
Industrials,NSC,236.18,11/10/2020,117.14,03/23/2020
Industrials,EXPD,95.2,10/23/2020,54.56,03/20/2020
Industrials,UAL,89.74,01/02/2020,19.92,05/15/2020
Industrials,CMI,234.9,11/11/2020,101.29,03/23/2020
Industrials,J,103.16,02/21/2020,62.59,03/23/2020
Industrials,SWK,180.89,11/11/2020,71.33,03/23/2020
Industrials,NOC,380.26,01/30/2020,267.6,03/23/2020
Industrials,ROK,254.74,11/09/2020,119.51,03/23/2020
Industrials,OTIS,66.12,11/11/2020,39.72,03/23/2020
Industrials,OTIS,66.12,11/11/2020,39.72,03/24/2020
Industrials,DAL,61.6,01/17/2020,19.19,05/15/2020
Industrials,ITW,217.54,11/10/2020,115.78,03/23/2020
Industrials,RSG,102.57,11/11/2020,65.28,03/23/2020
Industrials,AAL,30.47,02/12/2020,9.04,05/15/2020
Industrials,BA,345.4,02/12/2020,95.01,03/20/2020
Industrials,FDX,287.4,10/20/2020,89.8,03/16/2020
Industrials,ETN,114.86,11/10/2020,56.43,03/23/2020
Industrials,LMT,431.84,02/11/2020,273.46,03/23/2020
Industrials,PH,261.16,11/10/2020,96.2,03/23/2020
Industrials,GE,13.11,02/12/2020,5.47,05/15/2020
Industrials,VRSK,199.83,11/11/2020,120.8,03/23/2020
Industrials,GD,185.08,02/13/2020,104.15,03/23/2020
Industrials,CPRT,123.95,11/05/2020,58.78,03/23/2020
Industrials,MAS,59.68,09/02/2020,27.29,03/23/2020
Industrials,HII,274.03,01/21/2020,137.83,09/10/2020
Industrials,JBHT,142.49,08/27/2020,74.86,03/16/2020
Industrials,ODFL,207.02,11/06/2020,107.15,03/16/2020
Industrials,CAT,172.3,11/10/2020,89.79,03/23/2020
Industrials,URI,209.27,11/10/2020,69.59,03/18/2020
Industrials,JCI,44.48,10/22/2020,23.18,03/23/2020
Industrials,ALLE,137.62,02/14/2020,78.1,03/23/2020
Industrials,FBHS,90.26,10/16/2020,34.6,03/23/2020
Industrials,EFX,179.01,06/08/2020,104.09,03/23/2020
Industrials,TT,145.67,11/09/2020,70.55,03/23/2020
Industrials,ALK,67.79,01/02/2020,23.56,03/20/2020
Industrials,WM,124.43,02/18/2020,87.02,03/23/2020
Industrials,DOV,120.87,11/11/2020,64.75,03/23/2020
Industrials,FAST,49.39,09/02/2020,27.68,03/23/2020
Industrials,PWR,67.54,11/11/2020,23.71,03/23/2020
Industrials,GWW,404.48,11/10/2020,206.66,03/23/2020
Industrials,LUV,58.32,02/13/2020,23.87,05/15/2020
