Sector,Symbol,Period_High,High_Date,Period_Low,Low_Date
Information Technology,CDW,143.95,11/09/2020,79.01,03/20/2020
Information Technology,FLIR,58.06,02/13/2020,25.31,03/20/2020
Information Technology,FLT,328.85,02/06/2020,171.72,03/23/2020
Information Technology,AAPL,133.95,09/01/2020,55.29,03/23/2020
Information Technology,CSCO,48.63,02/12/2020,32.33,03/12/2020
Information Technology,ADI,137.38,11/11/2020,81.36,03/18/2020
Information Technology,MCHP,126.51,11/09/2020,55.35,03/16/2020
Information Technology,JNPR,25.81,08/10/2020,16.99,03/23/2020
Information Technology,TEL,108.62,11/11/2020,52.49,03/18/2020
Information Technology,FFIV,159.66,11/11/2020,90.55,03/18/2020
Information Technology,QCOM,147.69,11/11/2020,60.12,03/20/2020
Information Technology,LDOS,121.84,02/18/2020,70.31,03/23/2020
Information Technology,ACN,246.22,09/02/2020,141.97,03/23/2020
Information Technology,XRX,36.6,02/13/2020,14.43,07/09/2020
Information Technology,INTC,66.81,01/24/2020,43.74,03/16/2020
Information Technology,WU,27.46,02/10/2020,17.25,04/01/2020
Information Technology,APH,124.28,11/11/2020,68.0,03/16/2020
Information Technology,INTU,360.14,11/09/2020,193.63,03/23/2020
Information Technology,ANSS,351.7,10/15/2020,204.46,03/12/2020
Information Technology,GPN,207.78,02/20/2020,115.81,03/23/2020
Information Technology,MXIM,81.78,11/11/2020,41.86,03/16/2020
Information Technology,PAYX,91.55,11/11/2020,49.09,03/23/2020
Information Technology,ADP,177.9,02/14/2020,107.72,03/23/2020
Information Technology,ADP,177.9,02/19/2020,107.72,03/23/2020
Information Technology,BR,148.83,11/11/2020,83.53,03/23/2020
Information Technology,V,NaN,11/12/2020,135.1,03/23/2020
Information Technology,NLOK,24.21,08/26/2020,14.67,01/03/2020
Information Technology,IBM,149.11,02/12/2020,90.99,03/23/2020
Information Technology,FISV,123.89,02/04/2020,77.0,03/23/2020
Information Technology,GLW,NaN,11/12/2020,17.36,03/23/2020
Information Technology,KLAC,233.51,11/11/2020,112.99,03/20/2020
Information Technology,FIS,156.27,02/14/2020,101.96,03/23/2020
Information Technology,HPE,15.63,01/02/2020,7.65,03/23/2020
Information Technology,SWKS,157.09,10/12/2020,67.4,03/16/2020
Information Technology,KEYS,115.56,11/09/2020,78.28,03/27/2020
Information Technology,ADSK,262.61,11/09/2020,136.0,03/12/2020
Information Technology,LRCX,424.0,11/11/2020,185.31,03/20/2020
Information Technology,WDC,70.01,01/23/2020,28.81,03/18/2020
Information Technology,TXN,157.74,11/06/2020,91.48,03/16/2020
Information Technology,AVGO,382.43,10/12/2020,161.9,03/18/2020
Information Technology,IT,163.85,02/03/2020,83.24,03/20/2020
Information Technology,STX,60.6,01/24/2020,39.04,03/20/2020
Information Technology,AMAT,71.3,11/09/2020,37.71,03/20/2020
Information Technology,AMD,92.18,09/01/2020,38.71,03/16/2020
Information Technology,DXC,36.05,01/02/2020,9.13,03/18/2020
Information Technology,HPQ,22.7,02/25/2020,12.86,03/18/2020
Information Technology,MU,59.99,02/19/2020,34.47,03/16/2020
Information Technology,CTSH,76.76,11/11/2020,41.3,03/23/2020
Information Technology,CDNS,125.5,11/06/2020,54.32,03/18/2020
Information Technology,XLNX,133.74,11/06/2020,68.23,03/12/2020
Information Technology,PAYC,405.05,11/09/2020,165.01,04/03/2020
Information Technology,NTAP,63.2,01/16/2020,34.17,03/23/2020
Information Technology,PYPL,213.07,10/21/2020,85.26,03/23/2020
Information Technology,JKHY,198.61,08/17/2020,128.96,03/23/2020
Information Technology,ORCL,61.46,10/12/2020,39.29,03/12/2020
Information Technology,QRVO,149.48,11/09/2020,69.36,03/23/2020
Information Technology,TYL,422.91,11/11/2020,260.76,03/20/2020
Information Technology,AKAM,119.57,09/02/2020,80.05,03/12/2020
Information Technology,MA,365.69,08/28/2020,202.48,03/23/2020
Information Technology,VRSN,219.7,09/02/2020,151.17,03/23/2020
Information Technology,NOW,535.18,11/06/2020,249.57,04/03/2020
Information Technology,MSI,183.74,02/19/2020,123.46,03/23/2020
Information Technology,MSFT,231.65,09/02/2020,134.72,03/16/2020
Information Technology,CRM,281.25,09/01/2020,124.3,03/16/2020
Information Technology,ADBE,533.8,09/02/2020,285.0,03/12/2020
Information Technology,ANET,265.21,11/11/2020,157.04,03/16/2020
Information Technology,FTNT,149.6,07/09/2020,75.7,03/16/2020
Information Technology,CTXS,167.32,07/20/2020,102.13,02/27/2020
Information Technology,SNPS,241.78,11/06/2020,108.48,03/23/2020
Information Technology,IPGP,209.74,11/11/2020,102.74,04/03/2020
Information Technology,NVDA,582.48,11/06/2020,196.25,03/16/2020
Information Technology,ZBRA,356.27,11/11/2020,161.51,03/12/2020
