Sector,Symbol,Period_High,High_Date,Period_Low,Low_Date
Real Estate,AIV,40.38,02/21/2020,18.4,03/23/2020
Real Estate,IRM,32.21,02/21/2020,20.6,04/02/2020
Real Estate,KIM,19.7,01/23/2020,7.69,04/02/2020
Real Estate,FRT,126.54,01/23/2020,64.18,04/03/2020
Real Estate,VNO,64.68,01/23/2020,28.23,03/20/2020
Real Estate,WELL,85.72,02/18/2020,32.01,03/18/2020
Real Estate,EQR,84.3,02/21/2020,46.24,10/28/2020
Real Estate,SPG,141.32,01/21/2020,42.35,04/02/2020
Real Estate,ARE,176.38,07/31/2020,112.6,03/23/2020
Real Estate,UDR,49.41,02/21/2020,29.14,03/23/2020
Real Estate,EQIX,835.0,10/12/2020,485.5,03/23/2020
Real Estate,EXR,118.66,10/23/2020,73.3,03/23/2020
Real Estate,WY,30.92,01/16/2020,13.47,03/23/2020
Real Estate,REG,61.79,02/21/2020,31.31,04/03/2020
Real Estate,AMT,269.98,07/29/2020,176.74,03/23/2020
Real Estate,AVB,221.09,02/18/2020,117.37,03/23/2020
Real Estate,O,79.58,02/21/2020,41.16,03/18/2020
Real Estate,BXP,142.62,02/18/2020,71.15,10/28/2020
Real Estate,CBRE,64.25,02/10/2020,29.83,03/23/2020
Real Estate,PLD,108.29,10/12/2020,62.08,03/20/2020
Real Estate,ESS,319.79,02/21/2020,177.11,03/23/2020
Real Estate,CCI,172.98,07/06/2020,115.29,03/23/2020
Real Estate,DRE,40.93,11/04/2020,25.8,03/16/2020
Real Estate,PSA,236.23,10/26/2020,157.53,03/23/2020
Real Estate,PEAK,35.82,02/18/2020,19.14,03/23/2020
Real Estate,DLR,159.86,08/04/2020,106.17,03/23/2020
Real Estate,VTR,59.92,02/24/2020,16.13,03/18/2020
Real Estate,SLG,91.05,02/18/2020,35.44,05/22/2020
Real Estate,HST,17.91,01/02/2020,9.06,04/03/2020
Real Estate,MAA,143.97,02/21/2020,82.49,03/23/2020
Real Estate,SBAC,323.35,09/15/2020,214.79,03/23/2020
