Sector,Symbol,Period_High,High_Date,Period_Low,Low_Date
Utilities,PNW,100.56,02/21/2020,61.07,03/23/2020
Utilities,EVRG,72.06,02/19/2020,44.11,03/23/2020
Utilities,CMS,67.47,02/18/2020,47.53,03/23/2020
Utilities,SO,68.59,01/30/2020,42.23,03/23/2020
Utilities,NEE,77.54,11/11/2020,44.94,03/23/2020
Utilities,NRG,38.99,02/14/2020,21.4,03/18/2020
Utilities,EIX,75.47,01/21/2020,42.92,03/23/2020
Utilities,EIX,75.47,02/10/2020,42.92,03/23/2020
Utilities,AES,21.29,11/11/2020,9.31,03/18/2020
Utilities,D,87.02,03/04/2020,58.05,03/23/2020
Utilities,ES,97.18,03/04/2020,61.37,03/23/2020
Utilities,CNP,26.45,02/13/2020,11.9,03/23/2020
Utilities,CNP,26.45,02/14/2020,11.9,03/23/2020
Utilities,EXC,48.97,02/18/2020,29.36,03/23/2020
Utilities,AEP,101.72,02/18/2020,68.25,03/23/2020
Utilities,AWK,164.37,11/11/2020,95.93,03/23/2020
Utilities,DTE,132.0,11/10/2020,75.41,03/23/2020
Utilities,ATO,118.61,02/18/2020,79.57,03/23/2020
Utilities,FE,50.4,02/18/2020,26.37,07/22/2020
Utilities,LNT,58.89,02/18/2020,39.14,03/23/2020
Utilities,ETR,131.12,02/18/2020,76.06,03/23/2020
Utilities,PEG,61.0,10/27/2020,36.18,03/23/2020
Utilities,PPL,35.24,01/29/2020,18.07,03/23/2020
Utilities,SRE,156.65,01/30/2020,86.16,03/16/2020
Utilities,NI,29.45,02/14/2020,20.34,03/23/2020
Utilities,NI,29.45,02/18/2020,20.34,03/23/2020
Utilities,AEE,85.45,03/04/2020,60.59,03/23/2020
Utilities,ED,92.62,02/20/2020,64.0,03/23/2020
Utilities,XEL,74.69,11/11/2020,49.36,03/23/2020
